protein_og	scaffold	start	end	strand	gene	product
BigNatCCMP2755000036_OG0208322	scaffold_1	150476	152797	+	fgenesh1_pg.1_#_29	65994
BigNatCCMP2755000037_OG0002362	scaffold_1	156171	158001	+	e_gw1.1.452.1	33142
BigNatCCMP2755000038_OG0006924	scaffold_1	159363	160500	-	estExt_Genewise1.C_10015	45886
BigNatCCMP2755000039_OG0003349	scaffold_1	161346	163749	+	estExt_fgenesh1_pg.C_10032	84773
BigNatCCMP2755000040_OG0000079	scaffold_1	166451	167644	-	e_gw1.1.119.1	33066
BigNatCCMP2755000041_OG0000095	scaffold_1	167780	167977	-	gw1.1.349.1	27852
BigNatCCMP2755000042_OG0007111	scaffold_1	170111	170898	-	aug1.1_g42	125334
BigNatCCMP2755000043_OG0007111	scaffold_1	174482	175530	-	aug1.1_g44	125336
BigNatCCMP2755000044_OG0052733	scaffold_1	180174	181483	-	fgenesh1_pg.1_#_36	66001
BigNatCCMP2755000045_OG0001733	scaffold_1	181662	184243	+	estExt_fgenesh1_pg.C_10037	84776
BigNatCCMP2755000046_OG0132094	scaffold_1	184918	189082	-	fgenesh1_pg.1_#_38	66003
BigNatCCMP2755000047_OG0031740	scaffold_1	190176	191954	+	aug1.1_g49	125341
BigNatCCMP2755000048_OG0000263	scaffold_1	193614	193965	-	e_gw1.1.329.1	32899
BigNatCCMP2755000049_OG0000073	scaffold_1	194397	199506	+	estExt_fgenesh1_pg.C_10041	84777
BigNatCCMP2755000050_OG0000298	scaffold_1	200014	201704	-	estExt_Genewise1Plus.C_10026	51415
BigNatCCMP2755000051_OG0000237	scaffold_1	202750	204094	+	estExt_Genewise1Plus.C_10030	51419
BigNatCCMP2755000052_OG0076624	scaffold_1	204478	208997	-	fgenesh1_pg.1_#_44	66009
BigNatCCMP2755000053_OG0000095	scaffold_1	209311	211267	+	fgenesh1_pg.1_#_45	66010
BigNatCCMP2755000054_OG0076646	scaffold_1	212150	214097	-	estExt_fgenesh1_pg.C_10046	84780
BigNatCCMP2755000055_OG0002725	scaffold_1	215838	219051	+	e_gw1.1.416.1	32922
BigNatCCMP2755000056_OG0004442	scaffold_1	219842	222069	-	estExt_fgenesh1_pg.C_10048	84781
BigNatCCMP2755000057_OG0000059	scaffold_1	223036	227602	+	fgenesh1_pm.1_#_4	56979
BigNatCCMP2755000058_OG0000055	scaffold_1	228183	229752	-	estExt_fgenesh1_pg.C_10050	84782
BigNatCCMP2755000059_OG0001103	scaffold_1	230475	236716	-	estExt_fgenesh1_pg.C_10051	84783
BigNatCCMP2755000060_OG0000027	scaffold_1	236919	240846	+	fgenesh1_pg.1_#_52	66017
BigNatCCMP2755000061_OG0067681	scaffold_1	241579	242109	-	e_gw1.1.286.1	33201
BigNatCCMP2755000062_OG0000215	scaffold_1	244662	256080	-	fgenesh1_pg.1_#_54	66019
BigNatCCMP2755000063_OG0131950	scaffold_1	260369	261220	+	fgenesh1_kg.1_#_33_#_6988_1_CFAO_EXTA	58694
BigNatCCMP2755000064_OG0000013	scaffold_1	262494	266412	-	fgenesh1_pg.1_#_55	66020
BigNatCCMP2755000065_OG0000005	scaffold_1	267001	268538	+	estExt_Genewise1Plus.C_10044	51422
BigNatCCMP2755000066_OG0642472	scaffold_1	268749	270230	-	estExt_fgenesh1_pg.C_10057	84785
BigNatCCMP2755000067_OG0000717	scaffold_1	271145	274230	+	aug1.1_g70	125362
BigNatCCMP2755000068_OG0000744	scaffold_1	275435	278487	+	estExt_Genewise1Plus.C_10045	51423
BigNatCCMP2755000069_OG0000908	scaffold_1	279391	288041	-	fgenesh1_pg.1_#_59	66024
BigNatCCMP2755000070_OG0000360	scaffold_1	288696	294493	+	estExt_fgenesh1_pg.C_10060	84787
BigNatCCMP2755000071_OG0082148	scaffold_1	295928	301127	-	estExt_fgenesh1_pg.C_10061	84788
BigNatCCMP2755000072_OG0002298	scaffold_1	301689	308140	+	fgenesh1_pg.1_#_62	66027
BigNatCCMP2755000073_OG0001637	scaffold_1	308613	312113	-	estExt_fgenesh1_pg.C_10063	84789
BigNatCCMP2755000074_OG0000110	scaffold_1	312820	315626	+	fgenesh1_pg.1_#_64	66029
BigNatCCMP2755000075_OG1389701	scaffold_1	316249	316575	+	aug1.1_g81	125373
BigNatCCMP2755000076_OG0132058	scaffold_1	316739	317778	+	estExt_fgenesh1_pg.C_10065	84790
BigNatCCMP2755000077_OG0044666	scaffold_1	318457	321536	-	fgenesh1_pg.1_#_66	66031
BigNatCCMP2755000078_OG0081797	scaffold_1	322300	324096	+	fgenesh1_pg.1_#_67	66032
BigNatCCMP2755000079_OG0001784	scaffold_1	332573	333066	-	aug1.1_g86	125378
BigNatCCMP2755000080_OG0000919	scaffold_1	333994	334859	+	e_gw1.1.238.1	32868
BigNatCCMP2755000081_OG0117340	scaffold_1	335496	335951	-	aug1.1_g88	125380
BigNatCCMP2755000082_OG0001302	scaffold_1	340076	342188	+	estExt_fgenesh1_pg.C_10071	84792
BigNatCCMP2755000083_OG0117361	scaffold_1	342942	347394	+	estExt_fgenesh1_pg.C_10072	84793
BigNatCCMP2755000084_OG0034949	scaffold_1	352159	354101	-	aug1.1_g92	125384
BigNatCCMP2755000085_OG0034949	scaffold_1	354903	355822	-	aug1.1_g93	125385
BigNatCCMP2755000086_OG1389702	scaffold_1	357028	357602	+	aug1.1_g94	125386
BigNatCCMP2755000087_OG0057842	scaffold_1	358762	361028	-	aug1.1_g95	125387
BigNatCCMP2755000088_OG0034949	scaffold_1	363178	368313	-	aug1.1_g96	125388
BigNatCCMP2755000089_OG0003880	scaffold_1	368647	372429	-	aug1.1_g97	125389
BigNatCCMP2755000090_OG0642234	scaffold_1	373657	376314	+	estExt_fgenesh1_pg.C_10075	84795
BigNatCCMP2755000091_OG1389703	scaffold_1	376730	377629	-	fgenesh1_kg.1_#_41_#_442_1_CFAO_EXTA	58702
BigNatCCMP2755000092_OG0642289	scaffold_1	378509	378886	+	aug1.1_g101	125393
BigNatCCMP2755000093_OG0132072	scaffold_1	379759	381348	-	fgenesh1_pg.1_#_76	66041
BigNatCCMP2755000094_OG0001443	scaffold_1	382723	384526	-	estExt_fgenesh1_pg.C_10077	84796
BigNatCCMP2755000095_OG0017171	scaffold_1	385474	387246	+	estExt_fgenesh1_pg.C_10078	84797
BigNatCCMP2755000096_OG0324883	scaffold_1	387892	390205	-	fgenesh1_kg.1_#_45_#_6852_1_CFAO_EXTA	58706
BigNatCCMP2755000097_OG0001202	scaffold_1	390860	392360	+	estExt_Genewise1.C_10066	45903
BigNatCCMP2755000098_OG0010851	scaffold_1	393216	394988	-	aug1.1_g107	125399
BigNatCCMP2755000099_OG0005133	scaffold_1	395198	396728	+	fgenesh1_pg.1_#_81	66046
BigNatCCMP2755000100_OG0000190	scaffold_1	398069	403326	-	fgenesh1_pm.1_#_7	56982
BigNatCCMP2755000101_OG0255402	scaffold_1	405946	408190	+	fgenesh1_pg.1_#_83	66048
BigNatCCMP2755000102_OG0000040	scaffold_1	408944	410587	-	aug1.1_g111	125403
BigNatCCMP2755000103_OG0000040	scaffold_1	411463	415318	-	aug1.1_g112	125404
BigNatCCMP2755000104_OG0002725	scaffold_1	416319	419355	+	estExt_fgenesh1_pg.C_10085	84799
BigNatCCMP2755000105_OG0000116	scaffold_1	420648	425777	-	fgenesh1_pm.1_#_8	56983
BigNatCCMP2755000106_OG0033258	scaffold_1	427878	429596	+	estExt_fgenesh1_pg.C_10087	84800
BigNatCCMP2755000107_OG0042747	scaffold_1	431336	433533	+	estExt_fgenesh1_pg.C_10088	84801
BigNatCCMP2755000108_OG0021089	scaffold_1	434581	435226	-	estExt_fgenesh1_pg.C_10089	84802
BigNatCCMP2755000109_OG0096435	scaffold_1	435527	439083	+	aug1.1_g118	125410
BigNatCCMP2755000110_OG0175526	scaffold_1	440611	442274	-	estExt_fgenesh1_pg.C_10091	84803
BigNatCCMP2755000111_OG0324703	scaffold_1	442666	443770	+	fgenesh1_pg.1_#_92	66057
BigNatCCMP2755000112_OG0027974	scaffold_1	445063	448164	-	aug1.1_g121	125413
BigNatCCMP2755000113_OG0027974	scaffold_1	449282	456017	-	fgenesh1_pg.1_#_94	66059
BigNatCCMP2755000114_OG1389704	scaffold_1	456726	458073	+	fgenesh1_pg.1_#_95	66060
BigNatCCMP2755000115_OG0001060	scaffold_1	459847	462296	+	fgenesh1_pg.1_#_96	66061
BigNatCCMP2755000116_OG0000134	scaffold_1	463410	469645	-	fgenesh1_pg.1_#_97	66062
BigNatCCMP2755000117_OG1389705	scaffold_1	470355	471249	+	aug1.1_g125	125417
BigNatCCMP2755000118_OG0005616	scaffold_1	471878	473239	-	estExt_Genewise1.C_10076	45908
BigNatCCMP2755000119_OG0000483	scaffold_1	473667	479392	+	estExt_fgenesh1_pm.C_10009	92058
BigNatCCMP2755000120_OG0000488	scaffold_1	480574	485691	+	fgenesh1_pg.1_#_101	66066
BigNatCCMP2755000121_OG0255428	scaffold_1	486112	491160	+	fgenesh1_pg.1_#_102	66067
BigNatCCMP2755000122_OG0000664	scaffold_1	492200	495264	-	estExt_fgenesh1_pg.C_10103	84806
BigNatCCMP2755000123_OG0175353	scaffold_1	495632	497603	+	aug1.1_g132	125424
BigNatCCMP2755000124_OG0004748	scaffold_1	499547	502501	-	fgenesh1_pg.1_#_105	66070
BigNatCCMP2755000125_OG0000464	scaffold_1	502889	505831	+	aug1.1_g134	125426
BigNatCCMP2755000126_OG0027493	scaffold_1	510267	517641	-	estExt_fgenesh1_pg.C_10107	84807
BigNatCCMP2755000127_OG0027493	scaffold_1	518913	524139	-	fgenesh1_pg.1_#_108	66073
BigNatCCMP2755000128_OG0088608	scaffold_1	525139	530880	+	estExt_fgenesh1_pg.C_10109	84808
BigNatCCMP2755000129_OG0000365	scaffold_1	531311	533387	-	estExt_Genewise1.C_10085	45914
BigNatCCMP2755000130_OG0001986	scaffold_1	534552	539249	+	e_gw1.1.394.1	32873
BigNatCCMP2755000131_OG0003708	scaffold_1	540358	541497	+	fgenesh1_pg.1_#_112	66077
BigNatCCMP2755000132_OG0000157	scaffold_1	543302	544951	+	aug1.1_g140	125432
BigNatCCMP2755000133_OG0000157	scaffold_1	545193	548780	+	aug1.1_g141	125433
BigNatCCMP2755000134_OG0008259	scaffold_1	549260	550180	-	estExt_fgenesh1_pg.C_10114	84810
BigNatCCMP2755000135_OG0000010	scaffold_1	550858	552923	+	estExt_fgenesh1_pm.C_10011	92059
BigNatCCMP2755000136_OG0006194	scaffold_1	553654	556180	-	aug1.1_g144	125436
BigNatCCMP2755000137_OG0000526	scaffold_1	556742	558186	+	estExt_Genewise1.C_10104	45922
BigNatCCMP2755000138_OG0001611	scaffold_1	558721	560322	-	aug1.1_g146	125438
BigNatCCMP2755000139_OG0006468	scaffold_1	563843	567212	+	aug1.1_g147	125439
BigNatCCMP2755000140_OG0002480	scaffold_1	567947	570692	-	fgenesh1_pg.1_#_120	66085
BigNatCCMP2755000141_OG0255535	scaffold_1	571805	578125	+	aug1.1_g149	125441
BigNatCCMP2755000142_OG0005184	scaffold_1	578646	579855	-	estExt_fgenesh1_pg.C_10122	84813
BigNatCCMP2755000143_OG0003755	scaffold_1	580504	582420	+	estExt_fgenesh1_pm.C_10013	92061
BigNatCCMP2755000144_OG0000002	scaffold_1	583068	589238	-	fgenesh1_pg.1_#_125	66090
BigNatCCMP2755000145_OG0208391	scaffold_1	589692	594730	+	estExt_fgenesh1_pg.C_10125	84815
BigNatCCMP2755000146_OG0015211	scaffold_1	595928	598546	+	aug1.1_g154	125446
BigNatCCMP2755000147_OG1389706	scaffold_1	600697	602482	+	fgenesh1_pg.1_#_128	66093
BigNatCCMP2755000148_OG0060879	scaffold_1	606824	608503	-	fgenesh1_kg.1_#_66_#_12_1_CFAO_EXTA	58727
BigNatCCMP2755000149_OG0000035	scaffold_1	609631	611487	-	e_gw1.1.46.1	32917
BigNatCCMP2755000150_OG0131911	scaffold_1	614180	616346	-	estExt_fgenesh1_pg.C_10129	84818
BigNatCCMP2755000151_OG0324667	scaffold_1	616589	618874	+	estExt_fgenesh1_pg.C_10130	84819
BigNatCCMP2755000152_OG0005495	scaffold_1	619681	624909	-	aug1.1_g159	125451
BigNatCCMP2755000153_OG0208434	scaffold_1	625623	626267	+	fgenesh1_kg.1_#_70_#_7082_1_CFAO_EXTA	58731
BigNatCCMP2755000154_OG0000951	scaffold_1	627021	631828	-	fgenesh1_pg.1_#_134	66099
BigNatCCMP2755000155_OG0001769	scaffold_1	632070	638657	+	fgenesh1_pg.1_#_135	66100
BigNatCCMP2755000156_OG1389707	scaffold_1	639102	642305	-	estExt_fgenesh1_pg.C_10135	84820
BigNatCCMP2755000157_OG0000055	scaffold_1	642544	647852	+	aug1.1_g163	125455
BigNatCCMP2755000158_OG0006849	scaffold_1	648777	651621	-	aug1.1_g164	125456
BigNatCCMP2755000159_OG0088542	scaffold_1	651706	655848	+	aug1.1_g165	125457
BigNatCCMP2755000160_OG1389708	scaffold_1	657000	657658	+	fgenesh1_kg.1_#_71_#_2211_1_CFAO_EXTA	58732
BigNatCCMP2755000161_OG0004264	scaffold_1	658390	660193	-	fgenesh1_pg.1_#_140	66105
BigNatCCMP2755000162_OG0096556	scaffold_1	660747	667489	+	fgenesh1_pg.1_#_141	66106
BigNatCCMP2755000163_OG0001168	scaffold_1	667817	670072	+	fgenesh1_pg.1_#_142	66107
BigNatCCMP2755000164_OG0117311	scaffold_1	670918	673727	-	fgenesh1_pg.1_#_143	66108
BigNatCCMP2755000165_OG0642040	scaffold_1	674311	676667	+	aug1.1_g170	125462
BigNatCCMP2755000166_OG1389709	scaffold_1	681015	683349	-	estExt_fgenesh1_pg.C_10144	84822
BigNatCCMP2755000167_OG0001395	scaffold_1	689324	693063	+	fgenesh1_pm.1_#_14	56989
BigNatCCMP2755000168_OG0151061	scaffold_1	693805	694957	-	estExt_fgenesh1_pg.C_10147	84824
BigNatCCMP2755000169_OG0005637	scaffold_1	695159	698067	+	fgenesh1_pg.1_#_149	66114
BigNatCCMP2755000170_OG0439262	scaffold_1	700279	705806	+	estExt_fgenesh1_pg.C_10149	84825
BigNatCCMP2755000171_OG0000551	scaffold_1	706736	709321	-	fgenesh1_pm.1_#_15	56990
BigNatCCMP2755000172_OG0000225	scaffold_1	710097	712668	+	fgenesh1_pg.1_#_152	66117
BigNatCCMP2755000173_OG0000414	scaffold_1	713520	717091	-	gw1.1.401.1	29244
BigNatCCMP2755000174_OG0010876	scaffold_1	717949	720886	+	fgenesh1_pg.1_#_154	66119
BigNatCCMP2755000175_OG0132038	scaffold_1	721272	723959	-	aug1.1_g180	125472
BigNatCCMP2755000176_OG0151187	scaffold_1	724660	726095	+	estExt_fgenesh1_pg.C_10155	84826
BigNatCCMP2755000177_OG0020851	scaffold_1	726230	727656	-	fgenesh1_kg.1_#_77_#_4044_1_CFAO_EXTA	58738
BigNatCCMP2755000178_OG0004778	scaffold_1	732409	741133	+	estExt_fgenesh1_pg.C_10157	84828
BigNatCCMP2755000179_OG0000412	scaffold_1	742140	748111	-	fgenesh1_pg.1_#_159	66124
BigNatCCMP2755000180_OG0642656	scaffold_1	748752	750564	+	fgenesh1_pg.1_#_160	66125
BigNatCCMP2755000181_OG0000014	scaffold_1	751336	752867	-	estExt_Genewise1.C_10128	45935
BigNatCCMP2755000182_OG0000524	scaffold_1	753577	755161	+	estExt_fgenesh1_pg.C_10161	84830
BigNatCCMP2755000183_OG0255536	scaffold_1	756062	757272	-	aug1.1_g188	125480
BigNatCCMP2755000184_OG0002949	scaffold_1	758655	759521	+	aug1.1_g189	125481
BigNatCCMP2755000185_OG0000118	scaffold_1	760668	764112	-	aug1.1_g190	125482
BigNatCCMP2755000186_OG0642549	scaffold_1	766016	767293	-	estExt_fgenesh1_pg.C_10165	84831
BigNatCCMP2755000187_OG0002227	scaffold_1	768109	771388	-	fgenesh1_pg.1_#_167	66132
BigNatCCMP2755000188_OG0206837	scaffold_1	771849	777418	+	aug1.1_g193	125485
BigNatCCMP2755000189_OG0001374	scaffold_1	779109	779719	-	e_gw1.1.288.1	33051
BigNatCCMP2755000190_OG0001415	scaffold_1	784359	790349	+	estExt_fgenesh1_pg.C_10170	84833
BigNatCCMP2755000191_OG1389710	scaffold_1	791218	791934	+	aug1.1_g197	125489
BigNatCCMP2755000192_OG0004331	scaffold_1	794034	796984	-	fgenesh1_pg.1_#_172	66137
BigNatCCMP2755000193_OG0006032	scaffold_1	796983	799838	+	aug1.1_g199	125491
BigNatCCMP2755000194_OG0006032	scaffold_1	800359	802670	+	aug1.1_g200	125492
BigNatCCMP2755000195_OG0000011	scaffold_1	806702	809224	-	e_gw1.1.125.1	32900
BigNatCCMP2755000196_OG0001734	scaffold_1	809726	811664	+	estExt_fgenesh1_pg.C_10174	84834
BigNatCCMP2755000197_OG0012499	scaffold_1	812246	815296	-	estExt_fgenesh1_pg.C_10175	84835
BigNatCCMP2755000198_OG0012499	scaffold_1	817120	819076	-	fgenesh1_pg.1_#_177	66142
BigNatCCMP2755000199_OG0151068	scaffold_1	820316	823194	-	fgenesh1_pg.1_#_178	66143
BigNatCCMP2755000200_OG0096535	scaffold_1	823548	824942	+	fgenesh1_pg.1_#_179	66144
BigNatCCMP2755000201_OG0080949	scaffold_1	825910	826662	-	estExt_fgenesh1_pg.C_10179	84836
BigNatCCMP2755000202_OG0000083	scaffold_1	826912	832119	+	estExt_fgenesh1_pg.C_10180	84837
BigNatCCMP2755000203_OG0000380	scaffold_1	833281	836696	+	estExt_fgenesh1_pm.C_10017	92063
BigNatCCMP2755000204_OG0002851	scaffold_1	838869	843284	-	e_gw1.1.24.1	33250
BigNatCCMP2755000205_OG0105827	scaffold_1	845058	848525	+	fgenesh1_pg.1_#_184	66149
BigNatCCMP2755000206_OG0439336	scaffold_1	849222	850664	-	fgenesh1_pg.1_#_185	66150
BigNatCCMP2755000207_OG0175527	scaffold_1	851159	852301	+	fgenesh1_pg.1_#_186	66151
BigNatCCMP2755000208_OG0151182	scaffold_1	853185	857465	+	estExt_fgenesh1_pg.C_10186	84839
BigNatCCMP2755000209_OG0000009	scaffold_1	858105	863822	-	fgenesh1_pg.1_#_188	66153
BigNatCCMP2755000210_OG0000130	scaffold_1	864616	868592	+	estExt_fgenesh1_pg.C_10188	84840
BigNatCCMP2755000211_OG0002443	scaffold_1	869403	872244	+	fgenesh1_pm.1_#_19	56994
BigNatCCMP2755000212_OG0000002	scaffold_1	873715	876217	+	e_gw1.1.117.1	33202
BigNatCCMP2755000213_OG0007920	scaffold_1	878776	882973	+	fgenesh1_pg.1_#_191	66156
BigNatCCMP2755000214_OG0151139	scaffold_1	884408	888271	-	fgenesh1_pg.1_#_192	66157
BigNatCCMP2755000215_OG0004902	scaffold_1	888634	890631	+	aug1.1_g221	125513
BigNatCCMP2755000216_OG1389711	scaffold_1	891429	891857	+	aug1.1_g222	125514
BigNatCCMP2755000217_OG1389712	scaffold_1	893131	893908	+	aug1.1_g223	125515
BigNatCCMP2755000218_OG1389713	scaffold_1	894593	895027	+	aug1.1_g224	125516
BigNatCCMP2755000219_OG0003673	scaffold_1	897271	899474	-	estExt_fgenesh1_pg.C_10193	84841
BigNatCCMP2755000220_OG0003673	scaffold_1	900558	901758	-	fgenesh1_pg.1_#_195	66160
BigNatCCMP2755000221_OG0003454	scaffold_1	903261	904376	+	estExt_fgenesh1_pg.C_10195	84842
BigNatCCMP2755000222_OG0006283	scaffold_1	904860	908572	-	aug1.1_g227	125519
BigNatCCMP2755000223_OG0016264	scaffold_1	910777	915873	+	estExt_fgenesh1_pg.C_10197	84843
BigNatCCMP2755000224_OG0001017	scaffold_1	916236	917635	-	estExt_fgenesh1_pg.C_10198	84844
BigNatCCMP2755000225_OG0255370	scaffold_1	918250	919597	+	estExt_fgenesh1_pg.C_10199	84845
BigNatCCMP2755000226_OG0008533	scaffold_1	919916	920960	-	estExt_fgenesh1_pg.C_10200	84846
BigNatCCMP2755000227_OG0075628	scaffold_1	922008	926147	+	estExt_fgenesh1_pg.C_10201	84847
BigNatCCMP2755000228_OG0104618	scaffold_1	926559	927884	-	fgenesh1_pg.1_#_203	66168
BigNatCCMP2755000229_OG0000061	scaffold_1	928267	932441	+	estExt_fgenesh1_pg.C_10203	84848
BigNatCCMP2755000230_OG0642657	scaffold_1	933537	934726	+	fgenesh1_pg.1_#_206	66171
BigNatCCMP2755000231_OG0003735	scaffold_1	936292	937476	-	estExt_Genewise1Plus.C_10151	51466
BigNatCCMP2755000232_OG0439337	scaffold_1	938085	939107	+	fgenesh1_pg.1_#_208	66173
BigNatCCMP2755000233_OG0000026	scaffold_1	940401	942372	+	estExt_fgenesh1_pg.C_10208	84851
BigNatCCMP2755000234_OG0002736	scaffold_1	942901	946725	-	aug1.1_g239	125531
BigNatCCMP2755000235_OG0002736	scaffold_1	948040	949411	-	aug1.1_g240	125532
BigNatCCMP2755000236_OG0001419	scaffold_1	950452	950982	+	gw1.1.324.1	27317
BigNatCCMP2755000237_OG0003665	scaffold_1	952002	953826	-	aug1.1_g242	125534
BigNatCCMP2755000238_OG0000105	scaffold_1	954596	956915	+	estExt_fgenesh1_pg.C_10212	84852
BigNatCCMP2755000239_OG0000679	scaffold_1	957459	959486	-	gw1.1.38.1	19332
BigNatCCMP2755000240_OG0642658	scaffold_1	962228	963698	-	estExt_fgenesh1_pg.C_10214	84853
BigNatCCMP2755000241_OG1389714	scaffold_1	965978	966304	+	aug1.1_g246	125538
BigNatCCMP2755000242_OG0642427	scaffold_1	971556	973026	+	aug1.1_g247	125539
BigNatCCMP2755000243_OG0003866	scaffold_1	974204	980496	+	estExt_fgenesh1_pg.C_10216	84854
BigNatCCMP2755000244_OG0003867	scaffold_1	982141	992032	+	fgenesh1_pg.1_#_218	66183
BigNatCCMP2755000245_OG0006919	scaffold_1	993399	999382	-	aug1.1_g254	125546
BigNatCCMP2755000246_OG0208232	scaffold_1	999672	1001181	+	estExt_fgenesh1_pg.C_10219	84855
BigNatCCMP2755000247_OG1389715	scaffold_1	1001521	1002534	-	estExt_fgenesh1_pg.C_10220	84856
BigNatCCMP2755000248_OG0000414	scaffold_1	1003059	1008612	+	fgenesh1_pg.1_#_222	66187
BigNatCCMP2755000249_OG0170760	scaffold_1	1009899	1012054	-	gw1.1.93.1	20818
BigNatCCMP2755000250_OG0082083	scaffold_1	1013239	1017862	+	estExt_fgenesh1_pg.C_10223	84857
BigNatCCMP2755000251_OG0000135	scaffold_1	1018653	1019738	-	aug1.1_g263	125555
BigNatCCMP2755000252_OG0000492	scaffold_1	1021137	1022560	+	estExt_Genewise1.C_10169	45942
BigNatCCMP2755000253_OG0642508	scaffold_1	1023521	1024145	-	estExt_fgenesh1_pg.C_10226	84859
BigNatCCMP2755000254_OG0002289	scaffold_1	1024458	1025764	+	estExt_Genewise1.C_10171	45944
BigNatCCMP2755000255_OG0003630	scaffold_1	1026934	1028850	+	estExt_Genewise1.C_10174	45947
BigNatCCMP2755000256_OG0010442	scaffold_1	1029232	1032020	-	estExt_fgenesh1_pg.C_10229	84862
BigNatCCMP2755000257_OG0001600	scaffold_1	1032777	1034417	+	fgenesh1_pg.1_#_231	66196
BigNatCCMP2755000258_OG0642381	scaffold_1	1035033	1036567	-	fgenesh1_pg.1_#_232	66197
BigNatCCMP2755000259_OG0439338	scaffold_1	1037177	1039516	+	fgenesh1_pg.1_#_233	66198
BigNatCCMP2755000260_OG1389716	scaffold_1	1041094	1041523	+	aug1.1_g272	125564
BigNatCCMP2755000261_OG0000174	scaffold_1	1042629	1045572	+	fgenesh1_pg.1_#_234	66199
BigNatCCMP2755000262_OG0048367	scaffold_1	1049974	1053729	-	estExt_fgenesh1_pg.C_10234	84863
BigNatCCMP2755000263_OG0006123	scaffold_1	1053910	1058176	+	estExt_fgenesh1_pg.C_10235	84864
BigNatCCMP2755000264_OG0000038	scaffold_1	1058907	1059787	-	gw1.1.180.1	23300
BigNatCCMP2755000265_OG0036716	scaffold_1	1060832	1061203	+	aug1.1_g278	125570
