protein_og	scaffold	start	end	strand	gene	product
PlaBraE3000064_OG0026932	CDSF01000001.1	123096	123692	+	PBRA_000064	CEO94279.1
PlaBraE3000065_OG0018808	CDSF01000001.1	123869	125023	-	PBRA_000065	CEO94280.1
PlaBraE3000066_OG3374367	CDSF01000001.1	125473	126425	+	PBRA_000066	CEO94281.1
PlaBraE3000067_OG0000003	CDSF01000001.1	126763	128489	-	PBRA_000067	CEO94282.1
PlaBraE3000068_OG0389547	CDSF01000001.1	128709	132433	-	PBRA_000068	CEO94283.1
PlaBraE3000069_OG0000025	CDSF01000001.1	135073	138986	-	PBRA_000069	CEO94284.1
PlaBraE3000070_OG0007086	CDSF01000001.1	139734	141606	+	PBRA_000070	CEO94285.1
PlaBraE3000071_OG0002884	CDSF01000001.1	142846	144443	+	PBRA_000071	CEO94286.1
PlaBraE3000072_OG0000943	CDSF01000001.1	144504	145715	-	PBRA_000072	CEO94287.1
PlaBraE3000073_OG0084290	CDSF01000001.1	146029	148133	-	PBRA_000073	CEO94288.1
PlaBraE3000074_OG3374368	CDSF01000001.1	148379	148615	-	PBRA_000074	CEO94289.1
PlaBraE3000075_OG3374369	CDSF01000001.1	148738	150353	+	PBRA_000075	CEO94290.1
PlaBraE3000076_OG0000830	CDSF01000001.1	150630	151053	-	PBRA_000076	CEO94291.1
PlaBraE3000077_OG0002178	CDSF01000001.1	151387	152351	-	PBRA_000077	CEO94292.1
PlaBraE3000078_OG0000830	CDSF01000001.1	152865	153286	+	PBRA_000078	CEO94293.1
PlaBraE3000079_OG0003461	CDSF01000001.1	153419	155309	-	PBRA_000079	CEO94294.1
PlaBraE3000080_OG0002184	CDSF01000001.1	155935	156685	-	PBRA_000080	CEO94295.1
PlaBraE3000081_OG0010038	CDSF01000001.1	157089	157826	+	PBRA_000081	CEO94296.1
PlaBraE3000082_OG0008394	CDSF01000001.1	157936	158684	+	PBRA_000082	CEO94297.1
PlaBraE3000083_OG0010038	CDSF01000001.1	159308	160039	+	PBRA_000083	CEO94298.1
PlaBraE3000084_OG0000880	CDSF01000001.1	160478	161657	+	PBRA_000084	CEO94299.1
PlaBraE3000085_OG0054244	CDSF01000001.1	162173	164386	-	PBRA_000085	CEO94300.1
PlaBraE3000086_OG0003515	CDSF01000001.1	164775	166727	+	PBRA_000086	CEO94301.1
PlaBraE3000087_OG0000263	CDSF01000001.1	167198	167873	+	PBRA_000087	CEO94302.1
PlaBraE3000088_OG0018142	CDSF01000001.1	170728	171898	-	PBRA_000088	CEO94303.1
PlaBraE3000089_OG0164422	CDSF01000001.1	173652	177902	+	PBRA_000089	CEO94304.1
PlaBraE3000090_OG0002448	CDSF01000001.1	178107	180007	+	PBRA_000090	CEO94305.1
PlaBraE3000091_OG3374370	CDSF01000001.1	181737	182615	-	PBRA_000091	CEO94306.1
PlaBraE3000092_OG3374371	CDSF01000001.1	182229	182621	+	PBRA_000092	CEO94307.1
PlaBraE3000093_OG3374372	CDSF01000001.1	182758	183948	-	PBRA_000093	CEO94308.1
PlaBraE3000094_OG0003705	CDSF01000001.1	184089	185081	+	PBRA_000094	CEO94309.1
PlaBraE3000095_OG0095403	CDSF01000001.1	186145	187191	-	PBRA_000095	CEO94310.1
PlaBraE3000096_OG0001390	CDSF01000001.1	187433	190651	+	PBRA_000096	CEO94311.1
PlaBraE3000097_OG0001390	CDSF01000001.1	191723	197726	+	PBRA_000097	CEO94312.1
PlaBraE3000098_OG0006004	CDSF01000001.1	198576	199208	+	PBRA_000098	CEO94313.1
PlaBraE3000099_OG0005002	CDSF01000001.1	201688	202719	-	PBRA_000099	CEO94314.1
PlaBraE3000100_OG0041275	CDSF01000001.1	203108	203635	+	PBRA_000100	CEO94315.1
PlaBraE3000101_OG1035184	CDSF01000001.1	204820	205779	+	PBRA_000101	CEO94316.1
PlaBraE3000102_OG1035184	CDSF01000001.1	207442	208257	+	PBRA_000102	CEO94317.1
PlaBraE3000103_OG0294104	CDSF01000001.1	208533	209545	-	PBRA_000103	CEO94318.1
PlaBraE3000104_OG0553837	CDSF01000001.1	209802	210583	+	PBRA_000104	CEO94319.1
PlaBraE3000105_OG0000029	CDSF01000001.1	210911	211691	+	PBRA_000105	CEO94320.1
PlaBraE3000106_OG0002555	CDSF01000001.1	211781	213208	-	PBRA_000107	CEO94321.1
PlaBraE3000107_OG0541265	CDSF01000001.1	213335	215871	-	PBRA_000106	CEO94322.1
PlaBraE3000108_OG0000334	CDSF01000001.1	216257	220613	-	PBRA_000108	CEO94323.1
PlaBraE3000109_OG0001290	CDSF01000001.1	221263	221772	+	PBRA_000109	CEO94324.1
PlaBraE3000110_OG0028630	CDSF01000001.1	222051	223055	+	PBRA_000110	CEO94325.1
PlaBraE3000111_OG0001424	CDSF01000001.1	226199	228026	+	PBRA_000111	CEO94326.1
PlaBraE3000112_OG0000410	CDSF01000001.1	228104	228929	-	PBRA_000112	CEO94327.1
PlaBraE3000113_OG0006143	CDSF01000001.1	229283	230424	-	PBRA_000113	CEO94328.1
PlaBraE3000114_OG0005750	CDSF01000001.1	230754	232542	+	PBRA_000114	CEO94329.1
PlaBraE3000115_OG0003055	CDSF01000001.1	233431	234118	-	PBRA_000116	CEO94330.1
PlaBraE3000116_OG0553838	CDSF01000001.1	234213	236882	-	PBRA_000115	CEO94331.1
PlaBraE3000117_OG0016323	CDSF01000001.1	239782	240646	+	PBRA_000117	CEO94332.1
PlaBraE3000118_OG0002700	CDSF01000001.1	242331	244713	-	PBRA_000118	CEO94333.1
PlaBraE3000119_OG0000754	CDSF01000001.1	245753	247451	-	PBRA_000119	CEO94334.1
PlaBraE3000120_OG1035185	CDSF01000001.1	247996	256869	+	PBRA_000120	CEO94335.1
PlaBraE3000121_OG0001349	CDSF01000001.1	256944	259300	-	PBRA_000121	CEO94336.1
PlaBraE3000122_OG0001484	CDSF01000001.1	259393	261071	-	PBRA_000122	CEO94337.1
PlaBraE3000123_OG0001435	CDSF01000001.1	261534	262654	+	PBRA_000123	CEO94338.1
PlaBraE3000124_OG0007988	CDSF01000001.1	263473	264924	+	PBRA_000124	CEO94339.1
PlaBraE3000125_OG1035186	CDSF01000001.1	265136	266966	+	PBRA_000125	CEO94340.1
PlaBraE3000126_OG0000038	CDSF01000001.1	267014	268059	-	PBRA_000126	CEO94341.1
PlaBraE3000127_OG3374373	CDSF01000001.1	268600	269765	-	PBRA_000127	CEO94342.1
PlaBraE3000128_OG0001029	CDSF01000001.1	270165	271091	+	PBRA_000128	CEO94343.1
PlaBraE3000129_OG0105282	CDSF01000001.1	271934	274878	+	PBRA_000129	CEO94344.1
PlaBraE3000130_OG3374374	CDSF01000001.1	274911	275296	-	PBRA_000130	CEO94345.1
PlaBraE3000131_OG0000001	CDSF01000001.1	275717	278387	+	PBRA_000131	CEO94346.1
PlaBraE3000132_OG0000374	CDSF01000001.1	279175	281756	+	PBRA_000132	CEO94347.1
PlaBraE3000133_OG0000375	CDSF01000001.1	281830	283100	-	PBRA_000133	CEO94348.1
PlaBraE3000134_OG0000374	CDSF01000001.1	285383	289859	+	PBRA_000134	CEO94349.1
PlaBraE3000135_OG0000030	CDSF01000001.1	290035	291126	-	PBRA_000135	CEO94350.1
PlaBraE3000136_OG0039549	CDSF01000001.1	291220	292760	+	PBRA_000136	CEO94351.1
PlaBraE3000137_OG0294105	CDSF01000001.1	293159	293869	+	PBRA_000137	CEO94352.1
PlaBraE3000138_OG3374375	CDSF01000001.1	295139	295534	-	PBRA_000138	CEO94353.1
PlaBraE3000139_OG0294105	CDSF01000001.1	296039	296800	+	PBRA_000139	CEO94354.1
PlaBraE3000140_OG0002024	CDSF01000001.1	297491	298156	+	PBRA_000140	CEO94355.1
PlaBraE3000141_OG0294105	CDSF01000001.1	298626	299360	+	PBRA_000141	CEO94356.1
PlaBraE3000142_OG0028885	CDSF01000001.1	299439	300002	-	PBRA_000142	CEO94357.1
PlaBraE3000143_OG0009406	CDSF01000001.1	301104	301769	+	PBRA_000143	CEO94358.1
PlaBraE3000144_OG0294105	CDSF01000001.1	303086	303817	+	PBRA_000144	CEO94359.1
PlaBraE3000145_OG0007314	CDSF01000001.1	304016	304543	+	PBRA_000146	CEO94360.1
PlaBraE3000146_OG0000605	CDSF01000001.1	304600	305205	-	PBRA_000145	CEO94361.1
PlaBraE3000147_OG0006540	CDSF01000001.1	305926	306462	+	PBRA_000147	CEO94362.1
PlaBraE3000148_OG0034992	CDSF01000001.1	307596	309452	-	PBRA_000148	CEO94363.1
PlaBraE3000149_OG0005577	CDSF01000001.1	309664	311883	-	PBRA_000149	CEO94364.1
PlaBraE3000150_OG0018646	CDSF01000001.1	312097	312712	+	PBRA_000150	CEO94365.1
PlaBraE3000151_OG0002225	CDSF01000001.1	314433	314709	+	PBRA_000151	CEO94366.1
PlaBraE3000152_OG0004429	CDSF01000001.1	314948	316998	+	PBRA_000152	CEO94367.1
PlaBraE3000153_OG1035187	CDSF01000001.1	317335	317937	+	PBRA_000153	CEO94368.1
PlaBraE3000154_OG1035187	CDSF01000001.1	321049	321852	+	PBRA_000154	CEO94369.1
PlaBraE3000155_OG0001405	CDSF01000001.1	321976	323907	-	PBRA_000155	CEO94370.1
PlaBraE3000156_OG0006110	CDSF01000001.1	324197	324787	-	PBRA_000157	CEO94371.1
PlaBraE3000157_OG0000978	CDSF01000001.1	325013	327209	-	PBRA_000156	CEO94372.1
PlaBraE3000158_OG0078349	CDSF01000001.1	327682	329173	-	PBRA_000158	CEO94373.1
PlaBraE3000159_OG0000283	CDSF01000001.1	330044	334071	-	PBRA_000159	CEO94374.1
PlaBraE3000160_OG0002890	CDSF01000001.1	334553	335789	+	PBRA_000160	CEO94375.1
PlaBraE3000161_OG0007081	CDSF01000001.1	335996	336673	+	PBRA_000161	CEO94376.1
PlaBraE3000162_OG0174037	CDSF01000001.1	336713	340255	-	PBRA_000162	CEO94377.1
PlaBraE3000163_OG3374376	CDSF01000001.1	341259	342005	+	PBRA_000163	CEO94378.1
PlaBraE3000164_OG0000335	CDSF01000001.1	342170	344423	+	PBRA_000164	CEO94379.1
PlaBraE3000165_OG0002865	CDSF01000001.1	344463	345308	-	PBRA_000165	CEO94380.1
PlaBraE3000166_OG0119084	CDSF01000001.1	347702	348488	+	PBRA_000166	CEO94381.1
PlaBraE3000167_OG0000243	CDSF01000001.1	348610	351580	-	PBRA_000167	CEO94382.1
PlaBraE3000168_OG0001760	CDSF01000001.1	352009	354019	+	PBRA_000168	CEO94383.1
PlaBraE3000169_OG0000008	CDSF01000001.1	354534	355262	-	PBRA_000169	CEO94384.1
PlaBraE3000170_OG0553839	CDSF01000001.1	356044	358907	-	PBRA_000170	CEO94385.1
PlaBraE3000171_OG0002836	CDSF01000001.1	359051	359895	-	PBRA_000171	CEO94386.1
PlaBraE3000172_OG0000670	CDSF01000001.1	361344	363115	+	PBRA_000172	CEO94387.1
PlaBraE3000173_OG3374377	CDSF01000001.1	365651	367033	-	PBRA_000173	CEO94388.1
PlaBraE3000174_OG0003952	CDSF01000001.1	367326	368758	-	PBRA_000174	CEO94389.1
PlaBraE3000175_OG0002801	CDSF01000001.1	371208	373510	+	PBRA_000175	CEO94390.1
PlaBraE3000176_OG0544622	CDSF01000001.1	375019	376111	+	PBRA_000176	CEO94391.1
PlaBraE3000177_OG0004097	CDSF01000001.1	379247	380667	+	PBRA_000177	CEO94392.1
PlaBraE3000178_OG0003059	CDSF01000001.1	383059	384393	-	PBRA_000178	CEO94393.1
PlaBraE3000179_OG0001177	CDSF01000001.1	384585	385210	+	PBRA_000179	CEO94394.1
PlaBraE3000180_OG0000124	CDSF01000001.1	385376	385687	-	PBRA_000180	CEO94395.1
PlaBraE3000181_OG0198216	CDSF01000001.1	386290	386775	+	PBRA_000181	CEO94396.1
PlaBraE3000182_OG0002018	CDSF01000001.1	388627	390470	+	PBRA_000182	CEO94397.1
PlaBraE3000183_OG0003085	CDSF01000001.1	391358	396512	+	PBRA_000183	CEO94398.1
PlaBraE3000184_OG0011475	CDSF01000001.1	397192	397964	+	PBRA_000184	CEO94399.1
PlaBraE3000185_OG0005043	CDSF01000001.1	398614	406134	+	PBRA_000185	CEO94400.1
PlaBraE3000186_OG0000866	CDSF01000001.1	408465	409692	-	PBRA_000186	CEO94401.1
PlaBraE3000187_OG3374378	CDSF01000001.1	410291	411499	+	PBRA_000187	CEO94402.1
PlaBraE3000188_OG0004340	CDSF01000001.1	411741	413586	+	PBRA_000188	CEO94403.1
PlaBraE3000189_OG0031364	CDSF01000001.1	414199	415118	-	PBRA_000189	CEO94404.1
PlaBraE3000190_OG3374379	CDSF01000001.1	415528	415988	+	PBRA_000190	CEO94405.1
PlaBraE3000191_OG0000296	CDSF01000001.1	416285	419410	-	PBRA_000191	CEO94406.1
PlaBraE3000192_OG0000038	CDSF01000001.1	419556	421109	-	PBRA_000192	CEO94407.1
PlaBraE3000193_OG3374380	CDSF01000001.1	421208	422195	-	PBRA_000193	CEO94408.1
PlaBraE3000194_OG0003660	CDSF01000001.1	422207	423221	+	PBRA_000194	CEO94409.1
PlaBraE3000195_OG0001723	CDSF01000001.1	423439	424545	+	PBRA_000195	CEO94410.1
PlaBraE3000196_OG0002040	CDSF01000001.1	425800	426540	-	PBRA_000196	CEO94411.1
PlaBraE3000197_OG0000214	CDSF01000001.1	427198	434925	+	PBRA_000197	CEO94412.1
PlaBraE3000198_OG0000057	CDSF01000001.1	435750	437614	-	PBRA_000198	CEO94413.1
PlaBraE3000199_OG1035188	CDSF01000001.1	438237	438590	+	PBRA_000199	CEO94414.1
PlaBraE3000200_OG0002235	CDSF01000001.1	439500	443097	-	PBRA_000200	CEO94415.1
PlaBraE3000201_OG0020849	CDSF01000001.1	443822	446541	-	PBRA_000201	CEO94416.1
PlaBraE3000202_OG0000289	CDSF01000001.1	446765	448153	-	PBRA_000202	CEO94417.1
PlaBraE3000203_OG0000298	CDSF01000001.1	448760	450195	+	PBRA_000203	CEO94418.1
PlaBraE3000204_OG3374381	CDSF01000001.1	450378	450727	-	PBRA_000204	CEO94419.1
PlaBraE3000205_OG0005447	CDSF01000001.1	450961	451473	-	PBRA_000205	CEO94420.1
PlaBraE3000206_OG0018142	CDSF01000001.1	453353	454234	+	PBRA_000206	CEO94421.1
PlaBraE3000207_OG0002981	CDSF01000001.1	454425	455900	+	PBRA_000207	CEO94422.1
PlaBraE3000208_OG0000005	CDSF01000001.1	457977	458961	-	PBRA_000209	CEO94423.1
PlaBraE3000209_OG0044467	CDSF01000001.1	459850	461895	-	PBRA_000208	CEO94424.1
PlaBraE3000210_OG0389548	CDSF01000001.1	462719	462934	+	PBRA_000210	CEO94425.1
PlaBraE3000211_OG0000011	CDSF01000001.1	463253	464567	+	PBRA_000212	CEO94426.1
PlaBraE3000212_OG0000451	CDSF01000001.1	464392	465816	+	PBRA_000211	CEO94427.1
PlaBraE3000213_OG0004479	CDSF01000001.1	465889	467772	-	PBRA_000213	CEO94428.1
PlaBraE3000214_OG1035189	CDSF01000001.1	467904	468479	-	PBRA_000214	CEO94429.1
PlaBraE3000215_OG0002357	CDSF01000001.1	468715	470675	+	PBRA_000215	CEO94430.1
PlaBraE3000216_OG0000717	CDSF01000001.1	470700	473454	-	PBRA_000216	CEO94431.1
PlaBraE3000217_OG0004418	CDSF01000001.1	473654	475799	+	PBRA_000217	CEO94432.1
PlaBraE3000218_OG0000039	CDSF01000001.1	477155	482894	-	PBRA_000218	CEO94433.1
PlaBraE3000219_OG3374382	CDSF01000001.1	484161	484571	+	PBRA_000219	CEO94434.1
PlaBraE3000220_OG3374383	CDSF01000001.1	487293	487871	+	PBRA_000221	CEO94435.1
PlaBraE3000221_OG1035190	CDSF01000001.1	488676	490214	-	PBRA_000220	CEO94436.1
PlaBraE3000222_OG3374384	CDSF01000001.1	490480	491906	+	PBRA_000222	CEO94437.1
PlaBraE3000223_OG1035191	CDSF01000001.1	491946	493068	-	PBRA_000223	CEO94438.1
PlaBraE3000224_OG0000133	CDSF01000001.1	493798	494785	+	PBRA_000224	CEO94439.1
PlaBraE3000225_OG0003137	CDSF01000001.1	494902	498402	+	PBRA_000225	CEO94440.1
PlaBraE3000226_OG0000049	CDSF01000001.1	499277	500712	+	PBRA_000226	CEO94441.1
PlaBraE3000227_OG0000021	CDSF01000001.1	500862	503808	+	PBRA_000227	CEO94442.1
PlaBraE3000228_OG3374385	CDSF01000001.1	504771	505022	+	PBRA_000228	CEO94443.1
PlaBraE3000229_OG0001663	CDSF01000001.1	505081	505635	-	PBRA_000229	CEO94444.1
PlaBraE3000230_OG0009482	CDSF01000001.1	506059	507248	+	PBRA_000230	CEO94445.1
PlaBraE3000231_OG0160006	CDSF01000001.1	507436	508781	+	PBRA_000231	CEO94446.1
PlaBraE3000232_OG0002235	CDSF01000001.1	515033	515940	+	PBRA_000232	CEO94447.1
PlaBraE3000233_OG3374386	CDSF01000001.1	518208	518639	+	PBRA_000233	CEO94448.1
PlaBraE3000234_OG0000147	CDSF01000001.1	520050	521574	-	PBRA_000234	CEO94449.1
PlaBraE3000235_OG0006203	CDSF01000001.1	522164	522938	-	PBRA_000235	CEO94450.1
PlaBraE3000236_OG0000022	CDSF01000001.1	523311	523791	-	PBRA_000236	CEO94451.1
PlaBraE3000237_OG1035192	CDSF01000001.1	523970	527792	+	PBRA_000237	CEO94452.1
PlaBraE3000238_OG0000037	CDSF01000001.1	529524	530735	-	PBRA_000238	CEO94453.1
PlaBraE3000239_OG0003702	CDSF01000001.1	529998	530535	+	PBRA_000239	CEO94454.1
PlaBraE3000240_OG0002276	CDSF01000001.1	531247	532577	+	PBRA_000240	CEO94455.1
PlaBraE3000241_OG0000034	CDSF01000001.1	532645	535076	-	PBRA_000241	CEO94456.1
PlaBraE3000242_OG0008280	CDSF01000001.1	535225	536379	-	PBRA_000242	CEO94457.1
PlaBraE3000243_OG3374387	CDSF01000001.1	536613	537309	-	PBRA_000243	CEO94458.1
PlaBraE3000244_OG0000352	CDSF01000001.1	538173	539517	+	PBRA_000244	CEO94459.1
PlaBraE3000245_OG0382320	CDSF01000001.1	539930	540942	+	PBRA_000245	CEO94460.1
PlaBraE3000246_OG3374388	CDSF01000001.1	541907	544840	+	PBRA_000246	CEO94461.1
PlaBraE3000247_OG0003708	CDSF01000001.1	544937	545903	-	PBRA_000247	CEO94462.1
PlaBraE3000248_OG0035867	CDSF01000001.1	545925	547053	-	PBRA_000248	CEO94463.1
PlaBraE3000249_OG3374389	CDSF01000001.1	551100	552329	+	PBRA_000249	CEO94464.1
PlaBraE3000250_OG3374390	CDSF01000001.1	552425	553319	-	PBRA_000250	CEO94465.1
PlaBraE3000251_OG0511321	CDSF01000001.1	553473	554171	+	PBRA_000251	CEO94466.1
PlaBraE3000252_OG0007502	CDSF01000001.1	554372	557927	+	PBRA_000252	CEO94467.1
PlaBraE3000253_OG0000080	CDSF01000001.1	558659	563952	-	PBRA_000253	CEO94468.1
PlaBraE3000254_OG0007596	CDSF01000001.1	564688	565776	-	PBRA_000254	CEO94469.1
PlaBraE3000255_OG0001394	CDSF01000001.1	567001	569665	+	PBRA_000255	CEO94470.1
PlaBraE3000256_OG0000743	CDSF01000001.1	569863	572980	-	PBRA_000256	CEO94471.1
PlaBraE3000257_OG0000506	CDSF01000001.1	573956	574861	+	PBRA_000257	CEO94472.1
PlaBraE3000258_OG0000014	CDSF01000001.1	575069	575639	+	PBRA_000258	CEO94473.1
PlaBraE3000259_OG0000051	CDSF01000001.1	575750	578628	-	PBRA_000259	CEO94474.1
PlaBraE3000260_OG0021184	CDSF01000001.1	579778	583508	-	PBRA_000260	CEO94475.1
PlaBraE3000261_OG0127356	CDSF01000001.1	584801	586557	+	PBRA_000261	CEO94476.1
PlaBraE3000262_OG0001745	CDSF01000001.1	587172	588256	+	PBRA_000262	CEO94477.1
PlaBraE3000263_OG3374391	CDSF01000001.1	588446	588691	+	PBRA_000263	CEO94478.1
PlaBraE3000264_OG0529433	CDSF01000001.1	588937	591242	-	PBRA_000264	CEO94479.1
PlaBraE3000265_OG3374392	CDSF01000001.1	589792	590892	+	PBRA_000265	CEO94480.1
PlaBraE3000266_OG0003203	CDSF01000001.1	592118	593791	-	PBRA_000266	CEO94481.1
PlaBraE3000267_OG0553840	CDSF01000001.1	593881	595518	-	PBRA_000267	CEO94482.1
PlaBraE3000268_OG0000750	CDSF01000001.1	595744	597288	-	PBRA_000268	CEO94483.1
PlaBraE3000269_OG0000038	CDSF01000001.1	597757	598933	+	PBRA_000269	CEO94484.1
PlaBraE3000270_OG0000199	CDSF01000001.1	599116	600542	+	PBRA_000270	CEO94485.1
PlaBraE3000271_OG0005308	CDSF01000001.1	600791	602630	+	PBRA_000271	CEO94486.1
PlaBraE3000272_OG0000223	CDSF01000001.1	602930	605740	+	PBRA_000272	CEO94487.1
PlaBraE3000273_OG0009779	CDSF01000001.1	605850	611014	-	PBRA_000273	CEO94488.1
PlaBraE3000274_OG3374393	CDSF01000001.1	611013	611552	+	PBRA_000274	CEO94489.1
PlaBraE3000275_OG0003405	CDSF01000001.1	611655	613013	+	PBRA_000275	CEO94490.1
PlaBraE3000276_OG0234501	CDSF01000001.1	614129	614824	+	PBRA_000276	CEO94491.1
PlaBraE3000277_OG0079255	CDSF01000001.1	615619	617303	-	PBRA_000277	CEO94492.1
PlaBraE3000278_OG0000078	CDSF01000001.1	618740	619524	+	PBRA_000278	CEO94493.1
PlaBraE3000279_OG0003459	CDSF01000001.1	619626	620012	-	PBRA_000279	CEO94494.1
